,Name,N,Model Index,p,Tau,Lambda,MSE,NRMSE
360,Hard Bimodal,250,2,5,1,0.2,0.00010736307012848556,22.32575966630776
361,Hard Bimodal,250,2,5,2,0.0,2.152004890376702e-05,9.010527493598287
362,Hard Bimodal,250,2,5,5,0.0,2.569872776803095e-05,12.998501030993319
363,Hard Bimodal,250,2,5,10,0.2,0.00011589554924285039,22.51726293595545
364,Hard Bimodal,250,2,10,1,0.2,4.678307448102714e-07,22.201250828051965
365,Hard Bimodal,250,2,10,2,0.0,5.861257434958134e-08,14.321440324007273
366,Hard Bimodal,250,2,10,5,0.0,1.5237007744417497e-07,18.869751055136167
367,Hard Bimodal,250,2,10,10,0.05,7.76687102188589e-07,22.436081355308712
368,Soft Trimodal,250,3,1,1,0.2,0.041087761521339417,22.447599300492442
369,Soft Trimodal,250,3,1,2,0.05,8.570003410568461e-05,0.9418509924650748
370,Soft Trimodal,250,3,1,5,0.0,0.0002541733265388757,1.7243166164180508
371,Soft Trimodal,250,3,1,10,0.0,0.012328170239925385,11.92884776739217
372,Soft Trimodal,250,3,2,1,0.2,0.008089101873338223,22.385551479449028
373,Soft Trimodal,250,3,2,2,0.0,0.000479582988191396,6.172270556944584
374,Soft Trimodal,250,3,2,5,0.05,0.0011494894279167056,8.543377315761763
375,Soft Trimodal,250,3,2,10,0.0,0.0032881423830986023,15.905981874735494
376,Soft Trimodal,250,3,5,1,0.2,0.00011601472942857072,22.43787742871102
377,Soft Trimodal,250,3,5,2,0.0,0.00019146317208651453,30.724092315849017
378,Soft Trimodal,250,3,5,5,0.2,4.7536326746921986e-05,17.302853317015558
379,Soft Trimodal,250,3,5,10,0.0,7.219436520244926e-05,19.427154633610222
380,Soft Trimodal,250,3,10,1,0.05,5.121593744661368e-07,22.43351791026272
381,Soft Trimodal,250,3,10,2,0.05,3.8806032875982055e-07,19.737579689565617
382,Soft Trimodal,250,3,10,5,0.05,4.6420223043242004e-07,20.656883795590545
383,Soft Trimodal,250,3,10,10,0.0,1.6601245533820475e-07,19.77078736932662
384,Edgy trimodal,250,4,1,1,0.2,0.046510402113199234,22.38434767859215
385,Edgy trimodal,250,4,1,2,0.0,6.014195719217241e-07,0.08935454633893297
386,Edgy trimodal,250,4,1,5,0.0,9.229493298335001e-05,0.9985565556329375
